ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_407A19	"Tu... l'hai trovato davvero! Grazie infinite. Che Ceres ti benedica!"
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_47124F	Hai installato un campanello segnalatore sul palo della luce
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_61197B	Hai segnato il recinto con un cartello che indica il percorso
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_617FE9	Nessuna traccia dell'esploratore. Solo campi divorati dalla fame dei goblin.
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_70FB39	Hai segnato il recinto con un cartello che indica il percorso
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_75E790	Hai installato un campanello segnalatore sul palo della luce
INSCENE_EARLWOODFARMLANDSPARTII_TEXT_7682E0	I resti di quella che un tempo era una grande casa...
INSCENE_EARLWOODFARMLANDSPARTI_NOTIF_7682E0	Hai appreso informazioni sulla Pianta di Worp
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_04F067	Salve, avventuriero! Al momento le nostre pattuglie si limitano a questo perimetro. Però, ora che ci penso, ho visto un plotone dirigersi verso i meleti…
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_0CA410	Un'insegna delle guardie è impigliata nel sottobosco: qualcuno di loro deve essere passato di qui. Strano, non è una via che le guardie usano di solito.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_23A17C	Amore… dove sei? Perché il letto dei bambini è vuoto? Perché… perché la casa è vuota?
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_25BDF7	"Eh? Cosa... li hai fatti fuori? Beh, avevo la situazione sotto controllo, ma grazie dell'aiuto. Prendi qualche mela dal raccolto e prosegui per la tua strada."
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_2D122E	Qualcuno è inciampato qui e ha perso alcune frecce; sulle punte si riconosce il marchio di Manga.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_2D5DA0	Un'insegna delle guardie è impigliata nel sottobosco: qualcuno di loro deve essere passato di qui. Strano, non è una via che le guardie usano di solito.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_305412	Qualcuno è inciampato qui e ha perso alcune frecce; sulle punte si riconosce il marchio di Manga.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_32CC54	La pecora corre verso casa.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_32CC6D	La pecora corre verso casa.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_32CC71	La pecora corre verso casa.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_362ECB	Ti prego… non farci del male. Non abbiamo nulla. Ti prego… lasciaci andare
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_42AA3F	Frughi tra i rottami e trovi un palo da recinto!
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_44E44C	Salve, avventuriero! Al momento le nostre pattuglie si limitano a questo perimetro. Però, ora che ci penso, ho visto un plotone dirigersi verso i meleti…
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_472433	Nessuna traccia dell'esploratore qui, solo un Varco e un alto punto d'osservazione che domina le terre coltivate.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_54C7F7	Sul terreno si distinguono impronte di schinieri; la profondità rivela che chi le ha lasciate portava un carico pesante. Conducono verso nordest.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_5535CE	"Uff... Grazie dell'aiuto, amico! Ci siamo fermati a mangiare un boccone tornando dal Campo di Corin. Prendi qualche mela. Te la sei più che meritata, eheh."
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_5AF4E1	Mamma… Papà… Dove siete? Vi prego… Ho paura. Non so dove sono… Mamma… Papà… Vi prego, non lasciatemi sola…
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_5BE064	Hai installato un campanello segnalatore sul palo della luce
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_617FE9	L'esploratore non si trova da nessuna parte. Restano solo case sventrate, spogliate di tutto.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_6678F7	Appunto n. 2 - Dato che sono qui, ho avuto tempo di osservarli. I goblin sono stranamente crudeli con tutto ciò che li circonda. Non attaccano solo persone o animali. Non lasciano in pace nemmeno i fiori.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_667994	Appunto n. 1 - Ho iniziato la ricerca nelle terre coltivate. I goblin sono comuni in tutta Mirkea, ma qui mi aspettavo solo tracce sparse. Mi sbagliavo. Uno di loro, immobile in un cespuglio, me l'ha dimostrato.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_667A9C	Appunto n. 3 - I goblin si attaccano di rado senza motivo. Sembrano evitare gli scontri se non costretti, forse per prudenza più che per empatia. Dovrò osservarli ancora prima di trarre conclusioni.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_696216	Sul terreno si distinguono impronte di schinieri; la profondità rivela che chi le ha lasciate portava un carico pesante. Conducono verso nordest.
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_70AE7A	Hai installato un campanello segnalatore sul palo della luce
INSCENE_EARLWOODFARMLANDSPARTI_TEXT_7682E0	File di piante insolite, dall'aspetto esotico, si estendono nel campo.
INSCENE_EARLWOODVILLAGE_NOTIF_148852	Hai appreso informazioni sui profughi.
INSCENE_EARLWOODVILLAGE_NOTIF_165FF3	Hai appreso informazioni sulle guardie.
INSCENE_EARLWOODVILLAGE_NOTIF_18BCEF	Hai scoperto un indizio su dove si trova il rivenditore
INSCENE_EARLWOODVILLAGE_NOTIF_351122	Hai scoperto un indizio su dove si trova il rivenditore
INSCENE_EARLWOODVILLAGE_NOTIF_35118D	Hai scoperto un indizio su dove si trova il rivenditore
INSCENE_EARLWOODVILLAGE_NOTIF_35122A	Hai scoperto un indizio su dove si trova il rivenditore
INSCENE_EARLWOODVILLAGE_NOTIF_58D127	Hai appreso informazioni sulla Fucina di Manga.
INSCENE_EARLWOODVILLAGE_NOTIF_7682E0	Hai appreso informazioni sulle Mura di Earlwood
INSCENE_EARLWOODVILLAGE_TEXT_0A1DFC	Ah! Buon pomeriggio... no, volevo dire buongiorno! Cosa? Sciacalli? Scusa, devo essermi appisolato durante il turno…
INSCENE_EARLWOODVILLAGE_TEXT_0D1745	Le consegni l'ultimo biglietto dell'uomo. Gli dà una rapida occhiata, poi si volta in silenzio, stringendo il neonato mentre iniziano a scorrerle le lacrime.
INSCENE_EARLWOODVILLAGE_TEXT_1468D8	Salve, cittadino. Le informazioni sui movimenti in questo punto non sono pubbliche. Ma, tra noi, avventuriero, sei l'unica persona passata di qui da parecchio tempo.
INSCENE_EARLWOODVILLAGE_TEXT_148852	La zona è affollata di profughi.
INSCENE_EARLWOODVILLAGE_TEXT_165FF3	"Circola, forestiero. Non passa nessuno."
INSCENE_EARLWOODVILLAGE_TEXT_18BB4A	"Un uomo che prendeva le provviste? Scusa, non stavamo facendo caso a ciò che ci circondava..."
INSCENE_EARLWOODVILLAGE_TEXT_18BC53	"Cosa? Qualcuno ha preso le provviste donate? Ecco perché scarseggiano le medicine."
INSCENE_EARLWOODVILLAGE_TEXT_18BCEF	"Le donazioni di Tamsin? Ora non conta, non vedi che sto salvando queste meravigliose creature?! ... Non dirlo a nessuno, ma i lombrichi discendono direttamente dagli dei!"
INSCENE_EARLWOODVILLAGE_TEXT_351122	Cosa? Una coperta come la mia? C'è un tipo strano... vicino al mulino a vento distrutto, credo...
INSCENE_EARLWOODVILLAGE_TEXT_35118D	"Le donazioni di Tamsin? Sì, le ha prese un uomo strano... Ha persino cercato di vendermi dolci per i bambini! Vergognoso! Ha detto che mi avrebbe aspettato al meleto se avessi cambiato idea."
INSCENE_EARLWOODVILLAGE_TEXT_35122A	"Uff, sì, lo conosco quel 'venditore'. Quel farabutto mi ha chiesto 10 monete d'oro per una benda! E voleva pure farmi andare fino alla fattoria a prenderla, ci credi?"
INSCENE_EARLWOODVILLAGE_TEXT_3EC2A4	Mmh, sì… ora che lo dici, ricevo molte segnalazioni di gruppi di guardie in luoghi insoliti.
INSCENE_EARLWOODVILLAGE_TEXT_52AA66	Non resta molto cibo per i profughi
INSCENE_EARLWOODVILLAGE_TEXT_58D127	Davanti a te sorgono un riparo e una fucina rudimentali, assemblati con pezzi spaiati
INSCENE_EARLWOODVILLAGE_TEXT_7682E0	Il muro è un rozzo insieme di tronchi. Uno freme di vita, sottili germogli verdi si insinuano tra le fessure.
INSCENE_GUILDHALL_NOTIF_7682E0	Hai appreso informazioni su Aldoria.
INSCENE_GUILDHALL_TEXT_148852	Si preparano in fretta le provviste per gli avventurieri
INSCENE_GUILDHALL_TEXT_165FF3	Armi depositate e pronte all'uso.
INSCENE_GUILDHALL_TEXT_52AA66	"La foresta sembra quella dell'ultima Crisi dei Goblin. Ceres ci aiuti, speriamo di non arrivare a tanto."<x1/><x2/>"Tu c'eri? Io non ero nemmeno nato. Ho solo sentito le storie."
INSCENE_GUILDHALL_TEXT_58D127	I libri sparsi suggeriscono una partenza improvvisa, o semplice incuria.
INSCENE_GUILDHALL_TEXT_7682E0	Un libro aperto sulla storia di Aldoria, con i margini pieni degli accurati appunti di Tamsin.
INSCENE_GUILDHALL_TEXT_7D92AD	"Le terre selvagge stanno cambiando. Sempre meno cacciatori tornano vivi."
INSCENE_SANCTUM_JOINED_BASILTON	Basilton entra nel tuo Santuario
INSCENE_SANCTUM_JOINED_BEFR	Befr entra nel tuo Santuario
INSCENE_SANCTUM_JOINED_HEIMEN	Heimen entra nel tuo Santuario
INSCENE_SANCTUM_JOINED_MANGA	Manga entra nel tuo Santuario
INSCENE_SANCTUM_JOINED_MYRLL	Myrll entra nel tuo Santuario
INSCENE_THEGOBLINCAVES_TEXT_065FA9	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_071408	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_0D3AC9	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_155398	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_2E4FBE	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_2E91CE	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_37A4BE	La via è bloccata. Trova un modo per aprirla.
INSCENE_THEGOBLINCAVES_TEXT_403B0C	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_4DE89F	La via è bloccata. Trova un modo per aprirla.
INSCENE_THEGOBLINCAVES_TEXT_66DF65	Si è aperto un passaggio nelle vicinanze.
INSCENE_THEGOBLINCAVES_TEXT_6871C9	La via è bloccata. Trova un modo per aprirla.
INSCENE_THEGOBLINCAVES_TEXT_730FED	Si è aperto un passaggio nelle vicinanze.
INSCENE_THELOSTCAVERNS_TEXT_078937	A terra giace un diario. Su una pagina si legge:<x1/>"Abbiamo attivato il Varco. In qualche modo ha funzionato. Nessuno ci riusciva dai tempi degli Antichi! La spedizione aveva ragione. Questo posto è straordinario."
INSCENE_THELOSTCAVERNS_TEXT_146576	Su una pagina di diario si legge:<x1/>"I giacimenti di cristalli di mana sono incredibili. Se troviamo una via d'uscita, potremo avviare l'estrazione. Il potenziale è enorme."
INSCENE_THELOSTCAVERNS_TEXT_30CE34	Davanti a te incombe una statua colossale: la figura è sconosciuta, il suo scopo perduto nel tempo
INSCENE_WILDWOODFORESTPARTIIA_NOTIF_5208E3	Hai appreso informazioni sulla Corte dei Frammenti.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_052DA9	Appunto n. 6 - Pur mostrando scarso acume in battaglia e agendo quasi solo d'istinto, restano creature opportuniste e imprevedibili. I movimenti di un bambino con un coltello sono ben poco prevedibili.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_052EB1	Appunto n. 4 - Oggi mi sono spinto più a fondo nella foresta. Probabilmente più del dovuto. Qui è pericoloso. Una cosa però è evidente: i goblin viaggiano quasi sempre in gruppo. Non so ancora perché. Pensavo tenessero ai propri simili, ma ho visto troppe 'morti accidentali' per crederlo ancora.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_052F2D	Appunto n. 5 - Ritiro la mia precedente valutazione sulla pericolosità dei goblin. Da soli non costituiscono una minaccia significativa. Tuttavia, non vanno mai sottovalutati, soprattutto in gruppo.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_1E2C14	Sono le prime rovine che ho avuto occasione di esaminare. A prima vista, sono solo i resti di un antico insediamento: pietre erose disposte da mani ormai dimenticate. Un'osservazione superficiale, tuttavia, raramente regge a un esame attento.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_1E2D1D	Se il principio vale anche qui, queste rovine conservano le tracce di un'ideologia collettiva. Che sia religiosa, filosofica, politica o puramente culturale resta incerto. Qualunque sia la sua natura, quasi certamente un sistema di credenze è racchiuso in queste pietre.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_1E2D98	Le pareti recano dipinti e motivi geometrici ricorrenti. Simili ornamenti sono di rado arbitrari. Nelle diverse civiltà, i motivi decorativi tendono a commemorare singoli eventi o a esprimere credenze condivise. Una ripetizione casuale è statisticamente improbabile; l'intenzionalità è l'ipotesi più ragionevole.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_2D9B01	Cosa mi sta succedendo...? Cos'è... tutto questo... odio?
INSCENE_WILDWOODFORESTPARTIIA_TEXT_30E226	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_352AFD	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_35A367	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_3D1FFB	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
INSCENE_WILDWOODFORESTPARTIIA_TEXT_48D286	Ciao, amico mio. Ti lascio questo biglietto nel caso venissi a trovarmi mentre sono via per un incontro. I treant hanno finalmente avuto la gentilezza di concedermi udienza: potrò chiedere umilmente la loro protezione sul giardino. Tornerò molto presto.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_4D939C	Grazie, avventuriero. Senza il tuo aiuto saremmo stati perduti. Non abbiamo molto da offrire, ma accetta questo come segno della nostra gratitudine.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_5208E3	Davanti a te, in un antico tempio elfico, sorge un Sacrario dedicato a una figura sconosciuta, dalle sembianze di un grande cervo.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_5427BA	Devono essere gli attrezzi di Befr.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_59E47C	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIA_TEXT_7EAFCE	Cosa mi sta succedendo...? Cos'è... tutto questo... odio?
INSCENE_WILDWOODFORESTPARTIIB_NOTIF_7682E0	Hai appreso informazioni sulla Corte dei Frammenti.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_00A788	Cosa mi sta succedendo...? Cos'è... tutto questo... odio?
INSCENE_WILDWOODFORESTPARTIIB_TEXT_0165D2	Sono le prime rovine che ho avuto occasione di esaminare. A prima vista, sono solo i resti di un antico insediamento: pietre erose disposte da mani ormai dimenticate. Un'osservazione superficiale, tuttavia, raramente regge a un esame attento.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_136842	Se il principio vale anche qui, queste rovine conservano le tracce di un'ideologia collettiva. Che sia religiosa, filosofica, politica o puramente culturale resta incerto. Qualunque sia la sua natura, quasi certamente un sistema di credenze è racchiuso in queste pietre.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_2A46AA	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_2C80F8	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_2E651F	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_2FAFF6	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_31AE3E	Se il principio vale anche qui, queste rovine conservano le tracce di un'ideologia collettiva. Che sia religiosa, filosofica, politica o puramente culturale resta incerto. Qualunque sia la sua natura, quasi certamente un sistema di credenze è racchiuso in queste pietre.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_35847A	Le pareti recano dipinti e motivi geometrici ricorrenti. Simili ornamenti sono di rado arbitrari. Nelle diverse civiltà, i motivi decorativi tendono a commemorare singoli eventi o a esprimere credenze condivise. Una ripetizione casuale è statisticamente improbabile; l'intenzionalità è l'ipotesi più ragionevole.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_423D84	Le pareti recano dipinti e motivi geometrici ricorrenti. Simili ornamenti sono di rado arbitrari. Nelle diverse civiltà, i motivi decorativi tendono a commemorare singoli eventi o a esprimere credenze condivise. Una ripetizione casuale è statisticamente improbabile; l'intenzionalità è l'ipotesi più ragionevole.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_43E348	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_48B178	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_4CC411	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_5352E8	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_60F846	Sono le prime rovine che ho avuto occasione di esaminare. A prima vista, sono solo i resti di un antico insediamento: pietre erose disposte da mani ormai dimenticate. Un'osservazione superficiale, tuttavia, raramente regge a un esame attento.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_63B0F1	Ciao, amico mio. Ti lascio questo biglietto nel caso venissi a trovarmi mentre sono via per un incontro. I treant hanno finalmente avuto la gentilezza di concedermi udienza: potrò chiedere umilmente la loro protezione sul giardino. Tornerò molto presto.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_7682E0	Davanti a te, in un antico tempio elfico, sorge un Sacrario dedicato a una figura sconosciuta, dalle sembianze di un grande cervo.
INSCENE_WILDWOODFORESTPARTIIB_TEXT_7DEEB4	Ciao, amico mio. Ti lascio questo biglietto nel caso venissi a trovarmi mentre sono via per un incontro. I treant hanno finalmente avuto la gentilezza di concedermi udienza: potrò chiedere umilmente la loro protezione sul giardino. Tornerò molto presto.
INSCENE_WILDWOODFORESTPARTIII_NOTIF_7682E0	Hai appreso informazioni sull'Uovo dell'Antico Gigante.
INSCENE_WILDWOODFORESTPARTIII_TEXT_2EB60D	Guardi sotto la corteccia... nessuna poesia elfica.
INSCENE_WILDWOODFORESTPARTIII_TEXT_349D72	Radici corrotte si sono fuse in un muro vivente, sbarrando il sentiero. Senti una presenza vicina che le tiene unite.
INSCENE_WILDWOODFORESTPARTIII_TEXT_467398	"Attento, è una trappola!"
INSCENE_WILDWOODFORESTPARTIII_TEXT_4E3030	Sembra il carico d'armi scomparso di Manga...
INSCENE_WILDWOODFORESTPARTIII_TEXT_5560F2	Sotto la corteccia, alla base del ceppo, frammenti di un antico testo elfico restano impressi nel legno consunto.
INSCENE_WILDWOODFORESTPARTIII_TEXT_5561FA	Guardi sotto la corteccia... nessuna poesia elfica.
INSCENE_WILDWOODFORESTPARTIII_TEXT_556296	Guardi sotto la corteccia... nessuna poesia elfica.
INSCENE_WILDWOODFORESTPARTIII_TEXT_58D127	La zona è stata disboscata; gli alberi Everlast, un tempo immortali, giacciono abbattuti.
INSCENE_WILDWOODFORESTPARTIII_TEXT_5F473E	Il corpo giace senza vita, dilaniato dai lupi.
INSCENE_WILDWOODFORESTPARTIII_TEXT_610F77	"Grazie! Sei arrivato appena in tempo."
INSCENE_WILDWOODFORESTPARTIII_TEXT_6A8AC6	"Grazie, credevo fossimo spacciati. Ci stavano solo usando come esca."
INSCENE_WILDWOODFORESTPARTIII_TEXT_7682E0	Un imponente uovo degli Antichi riposa tra pietre sgretolate.
INSCENE_WILDWOODFORESTPARTIVA_TEXT_0B3571	C'è un altro dettaglio da non ignorare. Queste rovine contengono infrastrutture sostenute dalla magia: depositi nascosti, meccanismi ancora funzionanti dopo secoli e altre costruzioni che vanno oltre la semplice maestria artigiana. Una società capace di integrare tanto bene la magia nell'architettura avrebbe avuto ben pochi motivi per attribuire tanta importanza simbolica a un comune animale dei boschi
INSCENE_WILDWOODFORESTPARTIVA_TEXT_106071	Casa... dov'è casa nostra?
INSCENE_WILDWOODFORESTPARTIVA_TEXT_165689	“Uff… Grazie, amico! Presto! Il Cuore corrotto è proprio sopra di noi! Svelto! Distruggilo!”
INSCENE_WILDWOODFORESTPARTIVB_TEXT_0406C6	Tracce lievi suggeriscono che i goblin siano arrivati da nord.
INSCENE_WILDWOODFORESTPARTIVB_TEXT_284E12	Mentre viene tesa, la corda scricchiola abbastanza forte da attirare numerosi occhi malevoli in agguato nelle ombre della foresta.
INSCENE_WILDWOODFORESTPARTIVB_TEXT_67E2B0	Tracce lievi suggeriscono che i goblin siano arrivati da nord.
INSCENE_WILDWOODFORESTPARTIVC_TEXT_14D31B	Accidenti! C'è mancato poco. Grazie, amico!
INSCENE_WILDWOODFORESTPARTIVC_TEXT_191F9F	Uff… grazie… Uff, credevo di essere spacciato…
INSCENE_WILDWOODFORESTPARTIVC_TEXT_2676D1	Uff… Fa' attenzione! Il sentiero principale per il campo pullula di lupi. Meglio evitarlo, novellino.
INSCENE_WILDWOODFORESTPARTIVC_TEXT_26776E	Eh? Chi sei? Il ponte è stato riparato? Finalmente! Segui il sentiero principale e avvisa tutti al campo principale!
INSCENE_WILDWOODFORESTPARTIVC_TEXT_267876	Ssh… Non vedi che sto cacciando?! Il campo è poco più avanti. Ora sparisci!
INSCENE_WILDWOODFORESTPARTIVC_TEXT_2D308B	Lupi sul sentiero principale. Tieni gli occhi aperti.
INSCENE_WILDWOODFORESTPARTIVC_TEXT_3B94D2	La foresta si agita in risposta alle tue azioni.
INSCENE_WILDWOODFORESTPARTIVC_TEXT_53A33D	Il campo è poco più avanti. Fa' piano.
INSCENE_WILDWOODFORESTPARTIVC_TEXT_5ED31E	Grazie, amico… Senza di te non sarei riuscito a salvarla.
INSCENE_WILDWOODFORESTPARTIVC_TEXT_73706C	Il campo è lungo la strada principale, nel cuore della foresta. Di' a Corin che il ponte è riparato.
INSCENE_WILDWOODFORESTPARTIVD_NOTIF_7682E0	Hai appreso informazioni sulle Fattorie Abbandonate
INSCENE_WILDWOODFORESTPARTIVD_TEXT_0C5912	Ripercorri il sentiero e segni sulla mappa una via per il covo attraverso la cascata
INSCENE_WILDWOODFORESTPARTIVD_TEXT_232457	Le tracce si fanno più marcate mentre la malvagità nell'aria si intensifica. Conducono tutte a nord.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_3EFA81	Appunto n. 8 - No. Decisamente no. I goblin non possono avere alcuna organizzazione tattica. Sono troppo primitivi. Ecco. Troppo primitivi per formare una vera comunità. Probabilmente seguono solo una semplice gerarchia. Forse nella zona è comparso un Re Goblin.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_3EFC25	Appunto n. 9 - Dev'essere così. Deve esserci un Re Goblin. Uno che domina gli altri con la paura e la forza. Una creatura simile spiegherebbe perché restano uniti. Nonostante l'estremo pericolo, studiare un Re Goblin darebbe un contributo enorme alla mia ricerca.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_3EFD2D	Appunto n. 7 - Ho iniziato a seguire i goblin che sembrano essere i capi. Prima o poi arrivano tutti in questa zona. Scompaiono da qualche parte qui intorno. Mi sorge un dubbio: i capi si riuniscono davvero per organizzarsi? Forse non sono stupidi come credevo.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_4B9B46	Le tracce si fanno più marcate mentre la malvagità nell'aria si intensifica. Conducono tutte a nord.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_4B9CEB	Le tracce si fanno più marcate mentre la malvagità nell'aria si intensifica. Conducono tutte a nordovest.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_5DDB5E	Ripercorri il sentiero e segni sulla mappa una via per il covo attraverso la cascata
INSCENE_WILDWOODFORESTPARTIVD_TEXT_75A8EE	Le tracce si fanno più marcate mentre la malvagità nell'aria si intensifica. Conducono tutte a nordovest.
INSCENE_WILDWOODFORESTPARTIVD_TEXT_7682E0	Un tempo qualcuno chiamava casa questo posto. Ora restano solo rovine.
INSCENE_WILDWOODFORESTPARTIVE_TEXT_263E4B	Ripercorri il sentiero e segni sulla mappa una via per il covo attraverso il Guado di Garfael
INSCENE_WILDWOODFORESTPARTIVE_TEXT_284E12	Mentre viene tesa, la corda scricchiola abbastanza forte da attirare numerosi occhi malevoli in agguato nelle ombre della foresta.
INSCENE_WILDWOODFORESTPARTIVE_TEXT_3849E4	Sei venuto a prenderci… Ancora non ci credo. Torneremo al campo. Corin deve sapere cos'è successo qui. Grazie… davvero
INSCENE_WILDWOODFORESTPARTIVE_TEXT_4A3522	Le tracce lasciate trasudano malvagità e conducono a nordovest.
INSCENE_WILDWOODFORESTPARTIVE_TEXT_4B9A3E	Le tracce lasciate trasudano malvagità e conducono a nordovest.
INSCENE_WILDWOODFORESTPARTIVE_TEXT_5AC5AC	Ripercorri il sentiero e segni sulla mappa una via per il covo attraverso il Guado di Garfael
INSCENE_WILDWOODFORESTPARTIVE_TEXT_6A1C98	Più mi addentro nella foresta, più le rovine si fanno numerose. La loro crescente densità difficilmente è casuale. Questa civiltà traeva un vantaggio concreto dall'insediarsi nella foresta, oppure aveva con essa un legame tanto profondo da determinare la distribuzione degli insediamenti.
INSCENE_WILDWOODFORESTPARTIVE_TEXT_6A1D34	L'architettura corrisponde a ciò che già sappiamo dell'antica fede, ma qui l'immagine ricorrente del cervo ha un rilievo insolito. Questo sito sembra aver dato al simbolo molta più importanza degli altri che ho studiato.
INSCENE_WILDWOODFORESTPARTI_NOTIF_354807	Hai appreso informazioni sull'Albero Corrotto.
INSCENE_WILDWOODFORESTPARTI_NOTIF_7682E0	Hai appreso informazioni sulla Pozza del Ricordo.
INSCENE_WILDWOODFORESTPARTI_TEXT_00CFD6	Nord: Dimraeth<x1/>Est: Pozza del Ricordo<x2/>Sud: Villaggio di Earlwood
INSCENE_WILDWOODFORESTPARTI_TEXT_1484B3	Un biglietto insanguinato è stretto nelle mani del morto. Vi si legge:<x1/>"Un lupo mi ha morso mentre cercavo cibo. Al villaggio non ne è rimasto. Perdo molto sangue, non riesco a camminare. Non mi resta molto tempo. Chiunque trovi questo… ti prego, porta il secondo biglietto a mia moglie, al Villaggio di Earlwood. È il mio ultimo addio."
INSCENE_WILDWOODFORESTPARTI_TEXT_3375EA	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
INSCENE_WILDWOODFORESTPARTI_TEXT_354807	Un albero contorto che assorbe la magia circostante, lasciando l'aria fredda e inerte.
INSCENE_WILDWOODFORESTPARTI_TEXT_3D1FFB	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
