Accelerated Hemorrhage	Emorragia accelerata
Thrusting Dance	Danza delle stoccate
Time-focused Sight	Mira focalizzata sul tempo
Timebound Palms	Palmi vincolati al tempo
Timedrifted Hemorrhage	Emorragia alla deriva temporale
Timeless Butcher	Macellaio senza tempo
Timeless Capacity	Capacità senza tempo
Timeless Void Capacity Increase I	Aumento capacità di Vuoto eterno I
Timeless Void Capacity Increase II	Aumento capacità di Vuoto eterno II
Timeless Void Capacity Increase III	Aumento capacità di Vuoto eterno III
Timeless Void Retention Increase I	Aumento ritenzione di Vuoto eterno I
Timeless Void Retention Increase II	Aumento ritenzione di Vuoto eterno II
Timeless Void Retention Increase III	Aumento ritenzione di Vuoto eterno III
Toxin-Tipped Bolts	Dardi dalla punta tossica
Tremor Chant	Canto del tremore
Tremorbound Pestilence	Pestilenza vincolata al tremore
Twinned Strikes	Colpi gemelli
Twister	Tornado
Twister Duration Increase I	Aumento durata di Tornado I
Twister Duration Increase II	Aumento durata di Tornado II
Twister Duration Increase III	Aumento durata di Tornado III
Tyrant Quake Damage Increase IV	Aumento danno di Sisma del Tiranno IV
Unbroken Advance	Avanzata ininterrotta
Vanishing Cut	Taglio dissolvente
Vanishing Roll	Rotolata dissolvente
Vanishing Strike Backstab Damage Increase I	Aumento danno alle spalle di Colpo dissolvente I
Vanishing Strike Backstab Damage Increase II	Aumento danno alle spalle di Colpo dissolvente II
Vanishing Strike Backstab Damage Increase III	Aumento danno alle spalle di Colpo dissolvente III
Vanishing Strike Clone Duration Increase I	Aumento durata cloni di Colpo dissolvente I
Vanishing Strike Stealth Duration Increase I	Aumento durata Furtività di Colpo dissolvente I
Vanishing Strike Stealth Duration Increase II	Aumento durata Furtività di Colpo dissolvente II
Vanishing Strike Stealth Duration Increase III	Aumento durata Furtività di Colpo dissolvente III
Vector Transfer	Trasferimento vettoriale
Vehement Cleave Charge Speed Increase I	Aumento velocità di carica di Fendente veemente I
Vehement Cleave Charge Speed Increase II	Aumento velocità di carica di Fendente veemente II
Vehement Cleave Charge Speed Increase III	Aumento velocità di carica di Fendente veemente III
Venom Burst Trap	Trappola a scarica velenosa
Venom of the Labyrinth	Veleno del labirinto
Versatile Warrior Duration Increase I	Aumento durata di Guerriero Versatile I
Versatile Warrior Duration Increase II	Aumento durata di Guerriero Versatile II
Versatile Warrior Duration Increase III	Aumento durata di Guerriero Versatile III
Vortex Range Increase I	Aumento portata di Vortice I
Vortex Range Increase II	Aumento portata di Vortice II
Vortex Range Increase III	Aumento portata di Vortice III
Wandering Brawler	Rissoso errante
Wandering Ranger	Ranger errante
Waning Thread	Filo calante
Warcaller's Timing	Tempismo dell'araldo di guerra
Warding Void	Vuoto protettivo
Wave Strike Charge Speed I	Velocità di carica di Colpo d'onda I
Wave Strike Charge Speed II	Velocità di carica di Colpo d'onda II
Wave Strike Charge Speed III	Velocità di carica di Colpo d'onda III
Whispering Blades	Lame sussurranti
Wild-fire Ranger	Ranger dell'Incendio Selvaggio
Wildfire Dragon	Drago dell'Incendio Selvaggio
Wildfire Dragon Increase I	Aumento Drago dell'Incendio Selvaggio I
Wildfire Dragon Increase II	Aumento Drago dell'Incendio Selvaggio II
Wildfire Dragon Increase III	Aumento Drago dell'Incendio Selvaggio III
Wintercrack Smash	Schianto spaccagelo
Wraithhorn Ambusher	Assalitore dal corno spettrale
Xwin's Fist	Pugno di Xwin
Xwin's Might	Possanza di Xwin
